id,ok,issues,query,expected_intent,actual_intent,expected_products_include,must_not_prioritize,answer,top_products
T0011,True,,najdi sushi ryža,product_search,product_search,sushi ryža | ryža na sushi,ryžový ocot | ryžovar,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0012,True,,sushi ryža skladom,product_search,product_search,sushi ryža | ryža na sushi,ryžový ocot | ryžovar,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0013,True,,sushi ryža cena,product_search,product_search,sushi ryža | ryža na sushi,ryžový ocot | ryžovar,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0014,True,,máte niečo ako sushi ryža?,product_search,product_search,sushi ryža | ryža na sushi,ryžový ocot | ryžovar,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0015,True,,máte sushi ryza?,product_search,product_search,sushi ryža | ryža na sushi,,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0016,True,,máte susi ryza?,product_search,product_search,sushi ryža | ryža na sushi,,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0017,True,,máte suši ryza?,product_search,product_search,sushi ryža | ryža na sushi,,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0018,True,,máte sushy ryza?,product_search,product_search,sushi ryža | ryža na sushi,,,"Suši ryža japonská HARUKA 1 kg | Suši ryža Japonská HARUKA 10 kg | Suši ryža Japonská HARUKA 20 kg | Suši ryža Japonská ROYAL TIGER 1 kg | Suši ryža Japonská ROYAL TIGER 2 kg | Suši ryža Japonská SHINODE 1 kg | Suši ryža KIMPO 1 kg | Suši ryža KIMPO 4,5kg (10 lbs)"
T0019,True,,máte gochujang?,product_search,product_search,gochujang,miso | sójová pasta,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0020,True,,mate gochujang?,product_search,product_search,gochujang,miso | sójová pasta,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0021,True,,hľadám gochujang,product_search,product_search,gochujang,miso | sójová pasta,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0022,True,,hladam gochujang,product_search,product_search,gochujang,miso | sójová pasta,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0023,True,,potrebujem gochujang,product_search,product_search,gochujang,miso | sójová pasta,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0024,True,,kde nájdem gochujang,product_search,product_search,gochujang,miso | sójová pasta,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0025,True,,ukáž mi gochujang,product_search,product_search,gochujang,miso | sójová pasta,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0026,True,,chcem kúpiť gochujang,product_search,product_search,gochujang,miso | sójová pasta,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0027,True,,predávate gochujang?,product_search,product_search,gochujang,miso | sójová pasta,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0028,True,,aké máte gochujang,product_search,product_search,gochujang,miso | sójová pasta,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0029,True,,najdi gochujang,product_search,product_search,gochujang,miso | sójová pasta,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0030,True,,gochujang skladom,product_search,product_search,gochujang,miso | sójová pasta,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0031,True,,gochujang cena,product_search,product_search,gochujang,miso | sójová pasta,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0032,True,,máte niečo ako gochujang?,product_search,product_search,gochujang,miso | sójová pasta,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0033,True,,máte gochuang?,product_search,product_search,gochujang,,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0034,True,,máte gočudžang?,product_search,product_search,gochujang,,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0035,True,,máte gochudžang?,product_search,product_search,gochujang,,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0036,True,,máte gocujang?,product_search,product_search,gochujang,,,Čili pasta Gochujang Ofood DAESANG 500g | Čili pasta GOCHUJANG SEMPIO 500g | Čili pasta Kórejská GOCHUJANG SEMPIO 1000g | Čili pasta kórejská GOCHUJANG SEMPIO 250g
T0037,True,,máte kimchi?,product_search,product_search,kimchi,ryžovar,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0038,True,,mate kimchi?,product_search,product_search,kimchi,ryžovar,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0039,True,,hľadám kimchi,product_search,product_search,kimchi,ryžovar,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0040,True,,hladam kimchi,product_search,product_search,kimchi,ryžovar,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0041,True,,potrebujem kimchi,product_search,product_search,kimchi,ryžovar,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0042,True,,kde nájdem kimchi,product_search,product_search,kimchi,ryžovar,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0043,True,,ukáž mi kimchi,product_search,product_search,kimchi,ryžovar,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0044,True,,chcem kúpiť kimchi,product_search,product_search,kimchi,ryžovar,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0045,True,,predávate kimchi?,product_search,product_search,kimchi,ryžovar,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0046,True,,aké máte kimchi,product_search,product_search,kimchi,ryžovar,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0047,True,,najdi kimchi,product_search,product_search,kimchi,ryžovar,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0048,True,,kimchi skladom,product_search,product_search,kimchi,ryžovar,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0049,True,,kimchi cena,product_search,product_search,kimchi,ryžovar,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0050,True,,máte niečo ako kimchi?,product_search,product_search,kimchi,ryžovar,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0051,True,,máte kimci?,product_search,product_search,kimchi,,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0052,True,,máte kimči?,product_search,product_search,kimchi,,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0053,True,,máte kimchee?,product_search,product_search,kimchi,,,KIMCHI instantná rezancová polievka NONGSHIM - 120g | Kimchi krajané JONGGA 1000 g | Kimchi Nakladaná kapusta MAT KIMCHI JONGGA 300g | Kimchi nakrajaná vegánska JONGGA 300g | Kimchi omáčka YUMMYTO 200 ml | KIMCHI Ramen OTTOGI - 120g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 112g | KIMCHI RAMYUN Cup instantná rezancová polievka NONGSHIM 75 g
T0054,True,,máte miso pasta?,product_search,product_search,miso,miso polievka instantná,,BIO červená miso pasta HIKARI 500g | BIO Sojová pasta HIKARI MISO KODAWATTEMASU 500g | Červená fermentovaná sójová pasta (Aged Red Miso) HIKARI 300g | Miso pasta biela SHINSHU HIKARI 400g | Miso pasta HIKARI ENJUKU KOJI MUTENKA 375g | Miso Pasta Červená HIKARI 400g | Biela fermentovaná sójová pasta HIKARI 300g | Miso polievkový základ ASIAN HOME GOURMET 50g
T0055,True,,mate miso pasta?,product_search,product_search,miso,miso polievka instantná,,BIO červená miso pasta HIKARI 500g | BIO Sojová pasta HIKARI MISO KODAWATTEMASU 500g | Červená fermentovaná sójová pasta (Aged Red Miso) HIKARI 300g | Miso pasta biela SHINSHU HIKARI 400g | Miso pasta HIKARI ENJUKU KOJI MUTENKA 375g | Miso Pasta Červená HIKARI 400g | Biela fermentovaná sójová pasta HIKARI 300g | Miso polievkový základ ASIAN HOME GOURMET 50g
T0056,True,,hľadám miso pasta,product_search,product_search,miso,miso polievka instantná,,BIO červená miso pasta HIKARI 500g | BIO Sojová pasta HIKARI MISO KODAWATTEMASU 500g | Červená fermentovaná sójová pasta (Aged Red Miso) HIKARI 300g | Miso pasta biela SHINSHU HIKARI 400g | Miso pasta HIKARI ENJUKU KOJI MUTENKA 375g | Miso Pasta Červená HIKARI 400g | Biela fermentovaná sójová pasta HIKARI 300g | Miso polievkový základ ASIAN HOME GOURMET 50g
T0057,True,,hladam miso pasta,product_search,product_search,miso,miso polievka instantná,,BIO červená miso pasta HIKARI 500g | BIO Sojová pasta HIKARI MISO KODAWATTEMASU 500g | Červená fermentovaná sójová pasta (Aged Red Miso) HIKARI 300g | Miso pasta biela SHINSHU HIKARI 400g | Miso pasta HIKARI ENJUKU KOJI MUTENKA 375g | Miso Pasta Červená HIKARI 400g | Biela fermentovaná sójová pasta HIKARI 300g | Miso polievkový základ ASIAN HOME GOURMET 50g
T0058,True,,potrebujem miso pasta,product_search,product_search,miso,miso polievka instantná,,BIO červená miso pasta HIKARI 500g | BIO Sojová pasta HIKARI MISO KODAWATTEMASU 500g | Červená fermentovaná sójová pasta (Aged Red Miso) HIKARI 300g | Miso pasta biela SHINSHU HIKARI 400g | Miso pasta HIKARI ENJUKU KOJI MUTENKA 375g | Miso Pasta Červená HIKARI 400g | Biela fermentovaná sójová pasta HIKARI 300g | Miso polievkový základ ASIAN HOME GOURMET 50g
T0059,True,,kde nájdem miso pasta,product_search,product_search,miso,miso polievka instantná,,BIO červená miso pasta HIKARI 500g | BIO Sojová pasta HIKARI MISO KODAWATTEMASU 500g | Červená fermentovaná sójová pasta (Aged Red Miso) HIKARI 300g | Miso pasta biela SHINSHU HIKARI 400g | Miso pasta HIKARI ENJUKU KOJI MUTENKA 375g | Miso Pasta Červená HIKARI 400g | Biela fermentovaná sójová pasta HIKARI 300g | Miso polievkový základ ASIAN HOME GOURMET 50g
T0060,True,,ukáž mi miso pasta,product_search,product_search,miso,miso polievka instantná,,BIO červená miso pasta HIKARI 500g | BIO Sojová pasta HIKARI MISO KODAWATTEMASU 500g | Červená fermentovaná sójová pasta (Aged Red Miso) HIKARI 300g | Miso pasta biela SHINSHU HIKARI 400g | Miso pasta HIKARI ENJUKU KOJI MUTENKA 375g | Miso Pasta Červená HIKARI 400g | Biela fermentovaná sójová pasta HIKARI 300g | Miso polievkový základ ASIAN HOME GOURMET 50g
T0061,True,,chcem kúpiť miso pasta,product_search,product_search,miso,miso polievka instantná,,BIO červená miso pasta HIKARI 500g | BIO Sojová pasta HIKARI MISO KODAWATTEMASU 500g | Červená fermentovaná sójová pasta (Aged Red Miso) HIKARI 300g | Miso pasta biela SHINSHU HIKARI 400g | Miso pasta HIKARI ENJUKU KOJI MUTENKA 375g | Miso Pasta Červená HIKARI 400g | Biela fermentovaná sójová pasta HIKARI 300g | Miso polievkový základ ASIAN HOME GOURMET 50g
T0062,True,,predávate miso pasta?,product_search,product_search,miso,miso polievka instantná,,BIO červená miso pasta HIKARI 500g | BIO Sojová pasta HIKARI MISO KODAWATTEMASU 500g | Červená fermentovaná sójová pasta (Aged Red Miso) HIKARI 300g | Miso pasta biela SHINSHU HIKARI 400g | Miso pasta HIKARI ENJUKU KOJI MUTENKA 375g | Miso Pasta Červená HIKARI 400g | Biela fermentovaná sójová pasta HIKARI 300g | Miso polievkový základ ASIAN HOME GOURMET 50g
T0063,True,,aké máte miso pasta,product_search,product_search,miso,miso polievka instantná,,BIO červená miso pasta HIKARI 500g | BIO Sojová pasta HIKARI MISO KODAWATTEMASU 500g | Červená fermentovaná sójová pasta (Aged Red Miso) HIKARI 300g | Miso pasta biela SHINSHU HIKARI 400g | Miso pasta HIKARI ENJUKU KOJI MUTENKA 375g | Miso Pasta Červená HIKARI 400g | Biela fermentovaná sójová pasta HIKARI 300g | Miso polievkový základ ASIAN HOME GOURMET 50g
T0064,True,,najdi miso pasta,product_search,product_search,miso,miso polievka instantná,,BIO červená miso pasta HIKARI 500g | BIO Sojová pasta HIKARI MISO KODAWATTEMASU 500g | Červená fermentovaná sójová pasta (Aged Red Miso) HIKARI 300g | Miso pasta biela SHINSHU HIKARI 400g | Miso pasta HIKARI ENJUKU KOJI MUTENKA 375g | Miso Pasta Červená HIKARI 400g | Biela fermentovaná sójová pasta HIKARI 300g | Miso polievkový základ ASIAN HOME GOURMET 50g
